dacc,ddelta,dtheta,pos_x,pos_y,yaw_angle,v_x,v_y,omega,acc,delta,theta
-1.991735456,-2.462552882,2.743752793,0.219010846,-1.048772736,25.1350578,2.709436094,-0.03535756,-0.80692899,0.127595604,-0.107808371,0.07140619
-1.734954964,-1.718307141,2.626080081,0.308583811,-1.051216709,25.08855789,2.664426284,-0.011255631,-1.941252863,0.069763771,-0.165085276,0.1589422
-1.345356715,0.263628959,2.655106892,0.396178494,-1.058062303,25.01236581,2.607032687,0.027045013,-2.530313394,0.024918548,-0.156297644,0.24744576
-0.654259962,2.062713834,2.574198231,0.481165928,-1.070477053,24.92828946,2.547443909,0.064375656,-2.373143234,0.003109882,-0.087540516,0.33325237
0.078930441,3.022866521,2.456685424,0.563363308,-1.087920436,24.8645522,2.494056465,0.08619645,-1.279146869,0.005740897,0.013221701,0.41514188
-0.171058666,5.624973243,2.394556805,0.643249934,-1.107748038,24.85674906,2.439307908,0.085227248,0.921420235,3.89E-05,0.200720809,0.49496044
5.47E-05,2.43842524,2.346589643,0.7215365,-1.125373743,24.92073023,2.373005476,0.040866907,2.752585169,4.08E-05,0.28200165,0.5731801
0.437859136,0.609501072,2.304725271,0.798479748,-1.137315566,25.02740982,2.299823236,-0.007071941,3.529802811,0.014636071,0.302318353,0.65000427
-0.007469796,-3.91223466,2.260108718,0.873822666,-1.14165378,25.14838088,2.232855349,-0.048927727,3.586920394,0.014387077,0.171910531,0.72534123
-0.304567564,4.599414832,2.190799548,0.947022466,-1.138121349,25.26584583,2.16083118,-0.057035437,3.531973491,0.004234825,0.325224359,0.79836788
0.85722293,1.703789451,2.088363892,1.016665682,-1.126393189,25.3846737,2.078018272,-0.048653359,3.59295813,0.032808923,0.38201734,0.86798001
1.999756982,-0.045248166,1.953817042,1.08175991,-1.106907627,25.50530788,2.003131919,-0.03586148,3.648185585,0.099467489,0.380509068,0.93310725
1.999817044,-0.712156911,1.809500481,1.14178384,-1.08018126,25.62828929,1.94440609,-0.021870582,3.735950368,0.166128057,0.356770504,0.99342393
1.999833052,-1.102395839,1.701652628,1.196387469,-1.046718038,25.7545746,1.903896099,-0.011182565,3.838650139,0.232789159,0.320023976,1.05014568
1.999927639,-1.183656183,1.778437591,1.245312565,-1.007016785,25.88358579,1.882384844,-0.006548138,3.886191422,0.299453413,0.28056877,1.10942694
1.999769342,-1.268567733,2.060060013,1.288399551,-0.96159547,26.01210248,1.879710299,-0.00785977,3.79649956,0.366112391,0.238283179,1.1780956
1.999709575,-1.233757043,2.415795894,1.325643898,-0.910999482,26.13465848,1.895028532,-0.012263504,3.52663663,0.432769377,0.197157944,1.25862213
1.99957756,-1.1204752,2.7209483,1.357231066,-0.855769611,26.24557336,1.926918258,-0.015842203,3.108250634,0.499421963,0.159808771,1.34932041
1.999672924,-0.963348666,2.829125494,1.383544872,-0.796386543,26.34117153,1.973938161,-0.016857109,2.622781314,0.566077727,0.127697149,1.44362459
0.729418554,-1.515875276,2.649396653,1.405211431,-0.733267807,26.41899195,2.032329519,-0.021387543,2.008344207,0.590391679,0.077167973,1.53193781
-0.384984458,-0.913394729,2.177753474,1.4232573,-0.666913718,26.47463406,2.093486873,-0.021111773,1.346745905,0.577558863,0.046721482,1.6045296
-1.05312011,-1.335058349,2.11435703,1.438696223,-0.597859996,26.5085975,2.15106355,-0.022780925,0.671827671,0.54245486,0.002219537,1.67500816
-1.535474782,0.765422525,2.144799246,1.45275858,-0.526678772,26.52405605,2.200412087,-0.006873486,0.3748425,0.491272367,0.027733621,1.74650147
-1.403544639,1.27737451,2.189015028,1.465409358,-0.45374631,26.54116661,2.239003813,0.008458263,0.727921047,0.444487546,0.070312772,1.81946864
-1.599589385,-1.69193522,2.236406616,1.476366112,-0.379400189,26.56814783,2.268988207,-0.008806378,0.742690878,0.391167899,0.013914931,1.89401553
-1.586251981,1.08572145,2.254476258,1.486158039,-0.30403171,26.58964059,2.289051783,-0.002764631,0.644397263,0.338292833,0.050105646,1.96916474
-1.14297211,-0.458524415,2.280836428,1.49400706,-0.227925313,26.61326562,2.300768349,-0.004810569,0.729795337,0.300193763,0.034821499,2.04519262
-1.211848772,-1.295197067,2.294640181,1.500398614,-0.151390436,26.63300507,2.306247285,-0.016405374,0.378059323,0.259798804,-0.008351737,2.12168062
-1.30414097,-1.315907501,2.297842048,1.506243742,-0.074748622,26.63478193,2.304001488,-0.021187665,-0.301469113,0.216327438,-0.05221532,2.19827536
-1.371263462,-0.724168268,2.289724731,1.512824302,0.001609512,26.61368282,2.29296045,-0.014776656,-0.936564366,0.170618656,-0.076354262,2.27459952
-1.196339183,0.283950441,2.269161224,1.521303313,0.077271827,26.57675232,2.274508336,-0.000584109,-1.207703888,0.130740684,-0.066889248,2.35023822
1.857642686,4.710050769,2.248021986,1.531675693,0.152093952,26.54858263,2.258748877,0.04064593,-0.221053252,0.192662106,0.090112445,2.42517229
